trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#estimates,http://twitter.com/search?q=%23estimates,%23estimates,,2021-06-01 03:15:46.457488,Australia
Colbeck,http://twitter.com/search?q=Colbeck,Colbeck,,2021-06-01 03:15:46.457488,Australia
Happy Pride Month,http://twitter.com/search?q=%22Happy+Pride+Month%22,%22Happy+Pride+Month%22,256878.0,2021-06-01 03:15:46.457488,Australia
Simmons,http://twitter.com/search?q=Simmons,Simmons,27330.0,2021-06-01 03:15:46.457488,Australia
Naomi Osaka,http://twitter.com/search?q=%22Naomi+Osaka%22,%22Naomi+Osaka%22,187304.0,2021-06-01 03:15:46.457488,Australia
Channel 9,http://twitter.com/search?q=%22Channel+9%22,%22Channel+9%22,,2021-06-01 03:15:46.457488,Australia
Jeroen Weimar,http://twitter.com/search?q=%22Jeroen+Weimar%22,%22Jeroen+Weimar%22,,2021-06-01 03:15:46.457488,Australia
Leafs,http://twitter.com/search?q=Leafs,Leafs,122163.0,2021-06-01 03:15:46.457488,Australia
#dttwtselfieday,http://twitter.com/search?q=%23dttwtselfieday,%23dttwtselfieday,21780.0,2021-06-01 03:15:46.457488,Australia
Westbrook,http://twitter.com/search?q=Westbrook,Westbrook,15652.0,2021-06-01 03:15:46.457488,Australia
#melbournelockdown2021,http://twitter.com/search?q=%23melbournelockdown2021,%23melbournelockdown2021,,2021-06-01 03:15:46.457488,Australia
#WWERaw,http://twitter.com/search?q=%23WWERaw,%23WWERaw,41427.0,2021-06-01 03:15:46.457488,Australia
Sixers,http://twitter.com/search?q=Sixers,Sixers,31567.0,2021-06-01 03:15:46.457488,Australia
#COVID19Vic,http://twitter.com/search?q=%23COVID19Vic,%23COVID19Vic,11154.0,2021-06-01 03:15:46.457488,Australia
Toronto,http://twitter.com/search?q=Toronto,Toronto,59743.0,2021-06-01 03:15:46.457488,Australia
Embiid,http://twitter.com/search?q=Embiid,Embiid,17020.0,2021-06-01 03:15:46.457488,Australia
Woodley,http://twitter.com/search?q=Woodley,Woodley,12822.0,2021-06-01 03:15:46.457488,Australia
76ers,http://twitter.com/search?q=76ers,76ers,,2021-06-01 03:15:46.457488,Australia
French Open,http://twitter.com/search?q=%22French+Open%22,%22French+Open%22,83548.0,2021-06-01 03:15:46.457488,Australia
Tanya Plibersek,http://twitter.com/search?q=%22Tanya+Plibersek%22,%22Tanya+Plibersek%22,,2021-06-01 03:15:46.457488,Australia
Medicare,http://twitter.com/search?q=Medicare,Medicare,,2021-06-01 03:15:46.457488,Australia
Wizards,http://twitter.com/search?q=Wizards,Wizards,33994.0,2021-06-01 03:15:46.457488,Australia
Foley,http://twitter.com/search?q=Foley,Foley,,2021-06-01 03:15:46.457488,Australia
Scott Cam,http://twitter.com/search?q=%22Scott+Cam%22,%22Scott+Cam%22,,2021-06-01 03:15:46.457488,Australia
Peru,http://twitter.com/search?q=Peru,Peru,215506.0,2021-06-01 03:15:46.457488,Australia
Aspen Medical,http://twitter.com/search?q=%22Aspen+Medical%22,%22Aspen+Medical%22,,2021-06-01 03:15:46.457488,Australia
Paul Bongiorno,http://twitter.com/search?q=%22Paul+Bongiorno%22,%22Paul+Bongiorno%22,,2021-06-01 03:15:46.457488,Australia
LGBTQIA,http://twitter.com/search?q=LGBTQIA,LGBTQIA,51539.0,2021-06-01 03:15:46.457488,Australia
Penny,http://twitter.com/search?q=Penny,Penny,22552.0,2021-06-01 03:15:46.457488,Australia
Port Melbourne,http://twitter.com/search?q=%22Port+Melbourne%22,%22Port+Melbourne%22,,2021-06-01 03:15:46.457488,Australia
Jeff Kennett,http://twitter.com/search?q=%22Jeff+Kennett%22,%22Jeff+Kennett%22,,2021-06-01 03:15:46.457488,Australia
Birmingham,http://twitter.com/search?q=Birmingham,Birmingham,,2021-06-01 03:15:46.457488,Australia
Eddie McGuire,http://twitter.com/search?q=%22Eddie+McGuire%22,%22Eddie+McGuire%22,,2021-06-01 03:15:46.457488,Australia
Izzy,http://twitter.com/search?q=Izzy,Izzy,,2021-06-01 03:15:46.457488,Australia
Treasury,http://twitter.com/search?q=Treasury,Treasury,,2021-06-01 03:15:46.457488,Australia
Kane,http://twitter.com/search?q=Kane,Kane,31192.0,2021-06-01 03:15:46.457488,Australia
Jake Paul,http://twitter.com/search?q=%22Jake+Paul%22,%22Jake+Paul%22,11936.0,2021-06-01 03:15:46.457488,Australia
Greek,http://twitter.com/search?q=Greek,Greek,30752.0,2021-06-01 03:15:46.457488,Australia
Josh Frydenberg,http://twitter.com/search?q=%22Josh+Frydenberg%22,%22Josh+Frydenberg%22,,2021-06-01 03:15:46.457488,Australia
Russ,http://twitter.com/search?q=Russ,Russ,15218.0,2021-06-01 03:15:46.457488,Australia
Australia,http://twitter.com/search?q=Australia,Australia,100912.0,2021-06-01 03:15:46.457488,Australia
Telstra,http://twitter.com/search?q=Telstra,Telstra,,2021-06-01 03:15:46.457488,Australia
Channel Nine,http://twitter.com/search?q=%22Channel+Nine%22,%22Channel+Nine%22,,2021-06-01 03:15:46.457488,Australia
Piers,http://twitter.com/search?q=Piers,Piers,38721.0,2021-06-01 03:15:46.457488,Australia
Memorial Day,http://twitter.com/search?q=%22Memorial+Day%22,%22Memorial+Day%22,749698.0,2021-06-01 03:15:46.457488,Australia
Whittlesea,http://twitter.com/search?q=Whittlesea,Whittlesea,,2021-06-01 03:15:46.457488,Australia
MyGov,http://twitter.com/search?q=MyGov,MyGov,,2021-06-01 03:15:46.457488,Australia
Only 3,http://twitter.com/search?q=%22Only+3%22,%22Only+3%22,113518.0,2021-06-01 03:15:46.457488,Australia
Serena,http://twitter.com/search?q=Serena,Serena,52520.0,2021-06-01 03:15:46.457488,Australia
Melbourne Covid,http://twitter.com/search?q=%22Melbourne+Covid%22,%22Melbourne+Covid%22,,2021-06-01 03:15:46.457488,Australia
vingadores,http://twitter.com/search?q=vingadores,vingadores,27869.0,2021-06-01 03:15:46.457488,Brazil
thanos,http://twitter.com/search?q=thanos,thanos,23610.0,2021-06-01 03:15:46.457488,Brazil
gamora,http://twitter.com/search?q=gamora,gamora,,2021-06-01 03:15:46.457488,Brazil
#MulheresPower,http://twitter.com/search?q=%23MulheresPower,%23MulheresPower,15618.0,2021-06-01 03:15:46.457488,Brazil
#Lulagenocida,http://twitter.com/search?q=%23Lulagenocida,%23Lulagenocida,103457.0,2021-06-01 03:15:46.457488,Brazil
Wanda,http://twitter.com/search?q=Wanda,Wanda,21697.0,2021-06-01 03:15:46.457488,Brazil
Thor,http://twitter.com/search?q=Thor,Thor,31895.0,2021-06-01 03:15:46.457488,Brazil
marta,http://twitter.com/search?q=marta,marta,43337.0,2021-06-01 03:15:46.457488,Brazil
Loki,http://twitter.com/search?q=Loki,Loki,51279.0,2021-06-01 03:15:46.457488,Brazil
infinity war,http://twitter.com/search?q=%22infinity+war%22,%22infinity+war%22,12821.0,2021-06-01 03:15:46.457488,Brazil
#StreamButter,http://twitter.com/search?q=%23StreamButter,%23StreamButter,20264.0,2021-06-01 03:15:46.457488,Brazil
Tony,http://twitter.com/search?q=Tony,Tony,72851.0,2021-06-01 03:15:46.457488,Brazil
#RodaViva,http://twitter.com/search?q=%23RodaViva,%23RodaViva,,2021-06-01 03:15:46.457488,Brazil
natasha,http://twitter.com/search?q=natasha,natasha,22671.0,2021-06-01 03:15:46.457488,Brazil
Peter,http://twitter.com/search?q=Peter,Peter,112318.0,2021-06-01 03:15:46.457488,Brazil
Marvel,http://twitter.com/search?q=Marvel,Marvel,77421.0,2021-06-01 03:15:46.457488,Brazil
#jungkookpelado,http://twitter.com/search?q=%23jungkookpelado,%23jungkookpelado,,2021-06-01 03:15:46.457488,Brazil
wakanda,http://twitter.com/search?q=wakanda,wakanda,11392.0,2021-06-01 03:15:46.457488,Brazil
Steve Rogers,http://twitter.com/search?q=%22Steve+Rogers%22,%22Steve+Rogers%22,,2021-06-01 03:15:46.457488,Brazil
Jonjon,http://twitter.com/search?q=Jonjon,Jonjon,,2021-06-01 03:15:46.457488,Brazil
Cleo,http://twitter.com/search?q=Cleo,Cleo,,2021-06-01 03:15:46.457488,Brazil
Copa América,http://twitter.com/search?q=%22Copa+Am%C3%A9rica%22,%22Copa+Am%C3%A9rica%22,683789.0,2021-06-01 03:15:46.457488,Brazil
bucky,http://twitter.com/search?q=bucky,bucky,,2021-06-01 03:15:46.457488,Brazil
Larry,http://twitter.com/search?q=Larry,Larry,70770.0,2021-06-01 03:15:46.457488,Brazil
MC REBECCA VAI TE PEGAR,http://twitter.com/search?q=%22MC+REBECCA+VAI+TE+PEGAR%22,%22MC+REBECCA+VAI+TE+PEGAR%22,,2021-06-01 03:15:46.457488,Brazil
Chadwick,http://twitter.com/search?q=Chadwick,Chadwick,,2021-06-01 03:15:46.457488,Brazil
tom holland,http://twitter.com/search?q=%22tom+holland%22,%22tom+holland%22,27130.0,2021-06-01 03:15:46.457488,Brazil
Ultimato,http://twitter.com/search?q=Ultimato,Ultimato,,2021-06-01 03:15:46.457488,Brazil
Drax,http://twitter.com/search?q=Drax,Drax,,2021-06-01 03:15:46.457488,Brazil
Nadja,http://twitter.com/search?q=Nadja,Nadja,,2021-06-01 03:15:46.457488,Brazil
unicamp,http://twitter.com/search?q=unicamp,unicamp,,2021-06-01 03:15:46.457488,Brazil
Bruce,http://twitter.com/search?q=Bruce,Bruce,39185.0,2021-06-01 03:15:46.457488,Brazil
Castanhari,http://twitter.com/search?q=Castanhari,Castanhari,,2021-06-01 03:15:46.457488,Brazil
Groot,http://twitter.com/search?q=Groot,Groot,,2021-06-01 03:15:46.457488,Brazil
endgame,http://twitter.com/search?q=endgame,endgame,14035.0,2021-06-01 03:15:46.457488,Brazil
Bolsonaro Genocida,http://twitter.com/search?q=%22Bolsonaro+Genocida%22,%22Bolsonaro+Genocida%22,42490.0,2021-06-01 03:15:46.457488,Brazil
Vormir,http://twitter.com/search?q=Vormir,Vormir,,2021-06-01 03:15:46.457488,Brazil
Wizards,http://twitter.com/search?q=Wizards,Wizards,34008.0,2021-06-01 03:15:46.457488,Brazil
CINCO MILHOES ARTHURPICOLI,http://twitter.com/search?q=%22CINCO+MILHOES+ARTHURPICOLI%22,%22CINCO+MILHOES+ARTHURPICOLI%22,85021.0,2021-06-01 03:15:46.457488,Brazil
MEU MÊS,http://twitter.com/search?q=%22MEU+M%C3%8AS%22,%22MEU+M%C3%8AS%22,16086.0,2021-06-01 03:15:46.457488,Brazil
Simmons,http://twitter.com/search?q=Simmons,Simmons,27322.0,2021-06-01 03:15:46.457488,Brazil
Lei de Segurança Nacional,http://twitter.com/search?q=%22Lei+de+Seguran%C3%A7a+Nacional%22,%22Lei+de+Seguran%C3%A7a+Nacional%22,16751.0,2021-06-01 03:15:46.457488,Brazil
midori,http://twitter.com/search?q=midori,midori,18807.0,2021-06-01 03:15:46.457488,Brazil
Luísa,http://twitter.com/search?q=Lu%C3%ADsa,Lu%C3%ADsa,139889.0,2021-06-01 03:15:46.457488,Brazil
Morena is Coming,http://twitter.com/search?q=%22Morena+is+Coming%22,%22Morena+is+Coming%22,11791.0,2021-06-01 03:15:46.457488,Brazil
O Enem,http://twitter.com/search?q=%22O+Enem%22,%22O+Enem%22,,2021-06-01 03:15:46.457488,Brazil
André Balada,http://twitter.com/search?q=%22Andr%C3%A9+Balada%22,%22Andr%C3%A9+Balada%22,,2021-06-01 03:15:46.457488,Brazil
doutor,http://twitter.com/search?q=doutor,doutor,10228.0,2021-06-01 03:15:46.457488,Brazil
Westbrook,http://twitter.com/search?q=Westbrook,Westbrook,15653.0,2021-06-01 03:15:46.457488,Brazil
Januário de Oliveira,http://twitter.com/search?q=%22Janu%C3%A1rio+de+Oliveira%22,%22Janu%C3%A1rio+de+Oliveira%22,,2021-06-01 03:15:46.457488,Brazil
Leafs,http://twitter.com/search?q=Leafs,Leafs,122161.0,2021-06-01 03:15:46.457488,Canada
Marner,http://twitter.com/search?q=Marner,Marner,19595.0,2021-06-01 03:15:46.457488,Canada
Carey Price,http://twitter.com/search?q=%22Carey+Price%22,%22Carey+Price%22,,2021-06-01 03:15:46.457488,Canada
#MTLvsTOR,http://twitter.com/search?q=%23MTLvsTOR,%23MTLvsTOR,,2021-06-01 03:15:46.457488,Canada
Dubas,http://twitter.com/search?q=Dubas,Dubas,,2021-06-01 03:15:46.457488,Canada
Nylander,http://twitter.com/search?q=Nylander,Nylander,,2021-06-01 03:15:46.457488,Canada
Winnipeg,http://twitter.com/search?q=Winnipeg,Winnipeg,10014.0,2021-06-01 03:15:46.457488,Canada
#bucciovertimechallenge,http://twitter.com/search?q=%23bucciovertimechallenge,%23bucciovertimechallenge,,2021-06-01 03:15:46.457488,Canada
Bruins,http://twitter.com/search?q=Bruins,Bruins,16162.0,2021-06-01 03:15:46.457488,Canada
Spezza,http://twitter.com/search?q=Spezza,Spezza,,2021-06-01 03:15:46.457488,Canada
