trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#estimates,http://twitter.com/search?q=%23estimates,%23estimates,,2021-06-01 03:15:46.457488,Australia
#dttwtselfieday,http://twitter.com/search?q=%23dttwtselfieday,%23dttwtselfieday,21780.0,2021-06-01 03:15:46.457488,Australia
#melbournelockdown2021,http://twitter.com/search?q=%23melbournelockdown2021,%23melbournelockdown2021,,2021-06-01 03:15:46.457488,Australia
#WWERaw,http://twitter.com/search?q=%23WWERaw,%23WWERaw,41427.0,2021-06-01 03:15:46.457488,Australia
#COVID19Vic,http://twitter.com/search?q=%23COVID19Vic,%23COVID19Vic,11154.0,2021-06-01 03:15:46.457488,Australia
#MulheresPower,http://twitter.com/search?q=%23MulheresPower,%23MulheresPower,15618.0,2021-06-01 03:15:46.457488,Brazil
#Lulagenocida,http://twitter.com/search?q=%23Lulagenocida,%23Lulagenocida,103457.0,2021-06-01 03:15:46.457488,Brazil
#StreamButter,http://twitter.com/search?q=%23StreamButter,%23StreamButter,20264.0,2021-06-01 03:15:46.457488,Brazil
#RodaViva,http://twitter.com/search?q=%23RodaViva,%23RodaViva,,2021-06-01 03:15:46.457488,Brazil
#jungkookpelado,http://twitter.com/search?q=%23jungkookpelado,%23jungkookpelado,,2021-06-01 03:15:46.457488,Brazil
#MTLvsTOR,http://twitter.com/search?q=%23MTLvsTOR,%23MTLvsTOR,,2021-06-01 03:15:46.457488,Canada
#bucciovertimechallenge,http://twitter.com/search?q=%23bucciovertimechallenge,%23bucciovertimechallenge,,2021-06-01 03:15:46.457488,Canada
#StanleyCup,http://twitter.com/search?q=%23StanleyCup,%23StanleyCup,12023.0,2021-06-01 03:15:46.457488,Canada
#NHLPlayoffs,http://twitter.com/search?q=%23NHLPlayoffs,%23NHLPlayoffs,,2021-06-01 03:15:46.457488,Canada
#215Indigenouschildren,http://twitter.com/search?q=%23215Indigenouschildren,%23215Indigenouschildren,,2021-06-01 03:15:46.457488,Canada
#Game7,http://twitter.com/search?q=%23Game7,%23Game7,,2021-06-01 03:15:46.457488,Canada
#WWERaw,http://twitter.com/search?q=%23WWERaw,%23WWERaw,41372.0,2021-06-01 03:15:46.457488,Canada
#tmltalk,http://twitter.com/search?q=%23tmltalk,%23tmltalk,,2021-06-01 03:15:46.457488,Canada
#dttwtselfieday,http://twitter.com/search?q=%23dttwtselfieday,%23dttwtselfieday,21829.0,2021-06-01 03:15:46.457488,Canada
#BigMad,http://twitter.com/search?q=%23BigMad,%23BigMad,,2021-06-01 03:15:46.457488,Canada
#PlanB,http://twitter.com/search?q=%23PlanB,%23PlanB,,2021-06-01 03:15:46.457488,France
#patronincognito,http://twitter.com/search?q=%23patronincognito,%23patronincognito,,2021-06-01 03:15:46.457488,France
#TPMP,http://twitter.com/search?q=%23TPMP,%23TPMP,19713.0,2021-06-01 03:15:46.457488,France
#GoHabsGo,http://twitter.com/search?q=%23GoHabsGo,%23GoHabsGo,34078.0,2021-06-01 03:15:46.457488,France
#cergy,http://twitter.com/search?q=%23cergy,%23cergy,96588.0,2021-06-01 03:15:46.457488,France
#U21EURO,http://twitter.com/search?q=%23U21EURO,%23U21EURO,15032.0,2021-06-01 03:15:46.457488,Germany
#GoHabsGo,http://twitter.com/search?q=%23GoHabsGo,%23GoHabsGo,34078.0,2021-06-01 03:15:46.457488,Germany
#cdustärkstekraft,http://twitter.com/search?q=%23cdust%C3%A4rkstekraft,%23cdust%C3%A4rkstekraft,,2021-06-01 03:15:46.457488,Germany
#LGBTQ,http://twitter.com/search?q=%23LGBTQ,%23LGBTQ,19619.0,2021-06-01 03:15:46.457488,Germany
#Nachtschicht,http://twitter.com/search?q=%23Nachtschicht,%23Nachtschicht,,2021-06-01 03:15:46.457488,Germany
#कबीरजी_के_रहस्यमयीदोहे,http://twitter.com/search?q=%23%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0%E0%A4%9C%E0%A5%80_%E0%A4%95%E0%A5%87_%E0%A4%B0%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%AF%E0%A5%80%E0%A4%A6%E0%A5%8B%E0%A4%B9%E0%A5%87,%23%E0%A4%95%E0%A4%AC%E0%A5%80%E0%A4%B0%E0%A4%9C%E0%A5%80_%E0%A4%95%E0%A5%87_%E0%A4%B0%E0%A4%B9%E0%A4%B8%E0%A5%8D%E0%A4%AF%E0%A4%AE%E0%A4%AF%E0%A5%80%E0%A4%A6%E0%A5%8B%E0%A4%B9%E0%A5%87,305946.0,2021-06-01 03:15:46.457488,India
#tuesdaymotivations,http://twitter.com/search?q=%23tuesdaymotivations,%23tuesdaymotivations,,2021-06-01 03:15:46.457488,India
#किसानों_का_दुश्मन_ZeeNews,http://twitter.com/search?q=%23%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A5%8B%E0%A4%82_%E0%A4%95%E0%A4%BE_%E0%A4%A6%E0%A5%81%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A4%A8_ZeeNews,%23%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A4%BE%E0%A4%A8%E0%A5%8B%E0%A4%82_%E0%A4%95%E0%A4%BE_%E0%A4%A6%E0%A5%81%E0%A4%B6%E0%A5%8D%E0%A4%AE%E0%A4%A8_ZeeNews,40878.0,2021-06-01 03:15:46.457488,India
#WorldMilkDay,http://twitter.com/search?q=%23WorldMilkDay,%23WorldMilkDay,20817.0,2021-06-01 03:15:46.457488,India
#NeverForget1984,http://twitter.com/search?q=%23NeverForget1984,%23NeverForget1984,49052.0,2021-06-01 03:15:46.457488,India
#EnjoyDairy,http://twitter.com/search?q=%23EnjoyDairy,%23EnjoyDairy,13119.0,2021-06-01 03:15:46.457488,India
#ब्राह्मण_गौरव_दिवस,http://twitter.com/search?q=%23%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%8D%E0%A4%AE%E0%A4%A3_%E0%A4%97%E0%A5%8C%E0%A4%B0%E0%A4%B5_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,%23%E0%A4%AC%E0%A5%8D%E0%A4%B0%E0%A4%BE%E0%A4%B9%E0%A5%8D%E0%A4%AE%E0%A4%A3_%E0%A4%97%E0%A5%8C%E0%A4%B0%E0%A4%B5_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%B8,,2021-06-01 03:15:46.457488,India
#ThalapathyBdayMonthBegins,http://twitter.com/search?q=%23ThalapathyBdayMonthBegins,%23ThalapathyBdayMonthBegins,41336.0,2021-06-01 03:15:46.457488,India
#tiziaparty,http://twitter.com/search?q=%23tiziaparty,%23tiziaparty,,2021-06-01 03:15:46.457488,Italy
#tommasozorzi,http://twitter.com/search?q=%23tommasozorzi,%23tommasozorzi,55976.0,2021-06-01 03:15:46.457488,Italy
#Brusca,http://twitter.com/search?q=%23Brusca,%23Brusca,,2021-06-01 03:15:46.457488,Italy
#HappyBirthdayTomHolland,http://twitter.com/search?q=%23HappyBirthdayTomHolland,%23HappyBirthdayTomHolland,,2021-06-01 03:15:46.457488,Italy
#isoladeifamosi2021,http://twitter.com/search?q=%23isoladeifamosi2021,%23isoladeifamosi2021,,2021-06-01 03:15:46.457488,Italy
#tradenudesِ,http://twitter.com/search?q=%23tradenudes%D9%90,%23tradenudes%D9%90,,2021-06-01 03:15:46.457488,Ukraine
#ARMYSelcaDay,http://twitter.com/search?q=%23ARMYSelcaDay,%23ARMYSelcaDay,401596.0,2021-06-01 03:15:46.457488,Ukraine
#ARSD,http://twitter.com/search?q=%23ARSD,%23ARSD,433469.0,2021-06-01 03:15:46.457488,Ukraine
#cryptocurrency,http://twitter.com/search?q=%23cryptocurrency,%23cryptocurrency,108162.0,2021-06-01 03:15:46.457488,Ukraine
#hornyِ,http://twitter.com/search?q=%23horny%D9%90,%23horny%D9%90,25000.0,2021-06-01 03:15:46.457488,Ukraine
#jailbaitِ,http://twitter.com/search?q=%23jailbait%D9%90,%23jailbait%D9%90,,2021-06-01 03:15:46.457488,Ukraine
#StreamWOLFGANG,http://twitter.com/search?q=%23StreamWOLFGANG,%23StreamWOLFGANG,50724.0,2021-06-01 03:15:46.457488,Mexico
#EllasEnTUDN,http://twitter.com/search?q=%23EllasEnTUDN,%23EllasEnTUDN,,2021-06-01 03:15:46.457488,Mexico
#FinalLaVozSenior,http://twitter.com/search?q=%23FinalLaVozSenior,%23FinalLaVozSenior,,2021-06-01 03:15:46.457488,Mexico
#YoNoVotarePorMorena,http://twitter.com/search?q=%23YoNoVotarePorMorena,%23YoNoVotarePorMorena,26148.0,2021-06-01 03:15:46.457488,Mexico
#LordDespensas,http://twitter.com/search?q=%23LordDespensas,%23LordDespensas,,2021-06-01 03:15:46.457488,Mexico
#lamesareñoñaenvivo,http://twitter.com/search?q=%23lamesare%C3%B1o%C3%B1aenvivo,%23lamesare%C3%B1o%C3%B1aenvivo,,2021-06-01 03:15:46.457488,Mexico
#TheD2xButterPurge,http://twitter.com/search?q=%23TheD2xButterPurge,%23TheD2xButterPurge,18650.0,2021-06-01 03:15:46.457488,Mexico
#TPHAs21BTS,http://twitter.com/search?q=%23TPHAs21BTS,%23TPHAs21BTS,43330.0,2021-06-01 03:15:46.457488,Mexico
