trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#4corners,http://twitter.com/search?q=%234corners,%234corners,,2021-05-24 16:10:20.845908,Australia
#couchpeloton,http://twitter.com/search?q=%23couchpeloton,%23couchpeloton,,2021-05-24 16:10:20.845908,Australia
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462.0,2021-05-24 16:10:20.845908,Australia
Gemma Chan,http://twitter.com/search?q=%22Gemma+Chan%22,%22Gemma+Chan%22,,2021-05-24 16:10:20.845908,Australia
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413.0,2021-05-24 16:10:20.845908,Australia
#Giro,http://twitter.com/search?q=%23Giro,%23Giro,25718.0,2021-05-24 16:10:20.845908,Australia
Bernal,http://twitter.com/search?q=Bernal,Bernal,27967.0,2021-05-24 16:10:20.845908,Australia
hugh jackman,http://twitter.com/search?q=%22hugh+jackman%22,%22hugh+jackman%22,45477.0,2021-05-24 16:10:20.845908,Australia
Brendan Murphy,http://twitter.com/search?q=%22Brendan+Murphy%22,%22Brendan+Murphy%22,,2021-05-24 16:10:20.845908,Australia
Richard Madden,http://twitter.com/search?q=%22Richard+Madden%22,%22Richard+Madden%22,,2021-05-24 16:10:20.845908,Australia
Grace Tame,http://twitter.com/search?q=%22Grace+Tame%22,%22Grace+Tame%22,,2021-05-24 16:10:20.845908,Australia
changkyun,http://twitter.com/search?q=changkyun,changkyun,14724.0,2021-05-24 16:10:20.845908,Australia
BAMBAM,http://twitter.com/search?q=BAMBAM,BAMBAM,530446.0,2021-05-24 16:10:20.845908,Australia
Felix,http://twitter.com/search?q=Felix,Felix,152865.0,2021-05-24 16:10:20.845908,Australia
Oikawa,http://twitter.com/search?q=Oikawa,Oikawa,,2021-05-24 16:10:20.845908,Australia
NAMJOON,http://twitter.com/search?q=NAMJOON,NAMJOON,427984.0,2021-05-24 16:10:20.845908,Australia
jongin,http://twitter.com/search?q=jongin,jongin,75422.0,2021-05-24 16:10:20.845908,Australia
SHINee,http://twitter.com/search?q=SHINee,SHINee,344013.0,2021-05-24 16:10:20.845908,Australia
yeonjun,http://twitter.com/search?q=yeonjun,yeonjun,65234.0,2021-05-24 16:10:20.845908,Australia
Marvel,http://twitter.com/search?q=Marvel,Marvel,209216.0,2021-05-24 16:10:20.845908,Australia
Bob Dylan,http://twitter.com/search?q=%22Bob+Dylan%22,%22Bob+Dylan%22,41328.0,2021-05-24 16:10:20.845908,Australia
Real Madrid,http://twitter.com/search?q=%22Real+Madrid%22,%22Real+Madrid%22,100067.0,2021-05-24 16:10:20.845908,Australia
michelle telfer,http://twitter.com/search?q=%22michelle+telfer%22,%22michelle+telfer%22,,2021-05-24 16:10:20.845908,Australia
Camilla,http://twitter.com/search?q=Camilla,Camilla,12057.0,2021-05-24 16:10:20.845908,Australia
