trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
#4corners,http://twitter.com/search?q=%234corners,%234corners,,2021-05-24 16:10:20.845908,Australia
#couchpeloton,http://twitter.com/search?q=%23couchpeloton,%23couchpeloton,,2021-05-24 16:10:20.845908,Australia
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462.0,2021-05-24 16:10:20.845908,Australia
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413.0,2021-05-24 16:10:20.845908,Australia
#Giro,http://twitter.com/search?q=%23Giro,%23Giro,25718.0,2021-05-24 16:10:20.845908,Australia
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807.0,2021-05-24 16:10:20.845908,Brazil
#VALORANTMasters,http://twitter.com/search?q=%23VALORANTMasters,%23VALORANTMasters,,2021-05-24 16:10:20.845908,Brazil
#DIGAMENSTRUAÇÃO,http://twitter.com/search?q=%23DIGAMENSTRUA%C3%87%C3%83O,%23DIGAMENSTRUA%C3%87%C3%83O,,2021-05-24 16:10:20.845908,Brazil
#FREEZE_Tracklist,http://twitter.com/search?q=%23FREEZE_Tracklist,%23FREEZE_Tracklist,131698.0,2021-05-24 16:10:20.845908,Brazil
#justiceforpeep,http://twitter.com/search?q=%23justiceforpeep,%23justiceforpeep,10808.0,2021-05-24 16:10:20.845908,Brazil
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807.0,2021-05-24 16:10:20.845908,Canada
#Habs2021,http://twitter.com/search?q=%23Habs2021,%23Habs2021,,2021-05-24 16:10:20.845908,Canada
#TheView,http://twitter.com/search?q=%23TheView,%23TheView,,2021-05-24 16:10:20.845908,Canada
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413.0,2021-05-24 16:10:20.845908,Canada
#mondaythoughts,http://twitter.com/search?q=%23mondaythoughts,%23mondaythoughts,32327.0,2021-05-24 16:10:20.845908,Canada
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462.0,2021-05-24 16:10:20.845908,France
#LaCasaDePapel,http://twitter.com/search?q=%23LaCasaDePapel,%23LaCasaDePapel,,2021-05-24 16:10:20.845908,France
#FreebetWinamax,http://twitter.com/search?q=%23FreebetWinamax,%23FreebetWinamax,,2021-05-24 16:10:20.845908,France
#StaySelcaDay,http://twitter.com/search?q=%23StaySelcaDay,%23StaySelcaDay,115620.0,2021-05-24 16:10:20.845908,France
#macflyetcarlito,http://twitter.com/search?q=%23macflyetcarlito,%23macflyetcarlito,10043.0,2021-05-24 16:10:20.845908,France
#Valls,http://twitter.com/search?q=%23Valls,%23Valls,,2021-05-24 16:10:20.845908,France
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413.0,2021-05-24 16:10:20.845908,France
